Intents,Questions,Responses
search_filter_type,Where to find search filters?,"At the top of the search results page, you’ll find popular filters, such as:

Type of place: From shared rooms to entire places, learn more about the types of places to stay.
Unique listings: Choose from options like lighthouses, cabins, or boats.
Price: Use the sliding scale to narrow down your search within your price range.
Cancellation flexibility:? Think your plans may change? Find stays whose cancellation policies offer flexibility.
Instant Book: Find places you can book without waiting for Host approval.
Rooms and beds: Bedrooms, bathrooms, beds—choose the number that’s right for your group.
Property type: It's your stay, so what's your vibe? Search for villas, hostels, apartments, and more.
Unique stays: Go ahead, live the dream! Search for treehouses, yurts, or even castles.
Amenities: Some people need a working kitchen, others want a TV, and the rest want free parking. Choose what you need to be comfortable. 
Facilities: Pool? Gym? You’ve got options.
Accessibility: Need step-free entry or grab bars in the shower? Select features for comfort and safety.
Host language: Choose Hosts who speak a language you know.
House rules: Do you want somewhere that allows pets? Are you planning on having any local visitors during your stay? Search for places with rules that suit you."
search_filter_type,What type of search filters are available?,"At the top of the search results page, you’ll find popular filters, such as:

Type of place: From shared rooms to entire places, learn more about the types of places to stay.
Unique listings: Choose from options like lighthouses, cabins, or boats.
Price: Use the sliding scale to narrow down your search within your price range.
Cancellation flexibility:? Think your plans may change? Find stays whose cancellation policies offer flexibility.
Instant Book: Find places you can book without waiting for Host approval.
Rooms and beds: Bedrooms, bathrooms, beds—choose the number that’s right for your group.
Property type: It's your stay, so what's your vibe? Search for villas, hostels, apartments, and more.
Unique stays: Go ahead, live the dream! Search for treehouses, yurts, or even castles.
Amenities: Some people need a working kitchen, others want a TV, and the rest want free parking. Choose what you need to be comfortable. 
Facilities: Pool? Gym? You’ve got options.
Accessibility: Need step-free entry or grab bars in the shower? Select features for comfort and safety.
Host language: Choose Hosts who speak a language you know.
House rules: Do you want somewhere that allows pets? Are you planning on having any local visitors during your stay? Search for places with rules that suit you."
search_filter_type,Where can I find search filters?,"At the top of the search results page, you’ll find popular filters, such as:

Type of place: From shared rooms to entire places, learn more about the types of places to stay.
Unique listings: Choose from options like lighthouses, cabins, or boats.
Price: Use the sliding scale to narrow down your search within your price range.
Cancellation flexibility:? Think your plans may change? Find stays whose cancellation policies offer flexibility.
Instant Book: Find places you can book without waiting for Host approval.
Rooms and beds: Bedrooms, bathrooms, beds—choose the number that’s right for your group.
Property type: It's your stay, so what's your vibe? Search for villas, hostels, apartments, and more.
Unique stays: Go ahead, live the dream! Search for treehouses, yurts, or even castles.
Amenities: Some people need a working kitchen, others want a TV, and the rest want free parking. Choose what you need to be comfortable. 
Facilities: Pool? Gym? You’ve got options.
Accessibility: Need step-free entry or grab bars in the shower? Select features for comfort and safety.
Host language: Choose Hosts who speak a language you know.
House rules: Do you want somewhere that allows pets? Are you planning on having any local visitors during your stay? Search for places with rules that suit you."
search_filter_type,What search filter types are there?,"At the top of the search results page, you’ll find popular filters, such as:

Type of place: From shared rooms to entire places, learn more about the types of places to stay.
Unique listings: Choose from options like lighthouses, cabins, or boats.
Price: Use the sliding scale to narrow down your search within your price range.
Cancellation flexibility:? Think your plans may change? Find stays whose cancellation policies offer flexibility.
Instant Book: Find places you can book without waiting for Host approval.
Rooms and beds: Bedrooms, bathrooms, beds—choose the number that’s right for your group.
Property type: It's your stay, so what's your vibe? Search for villas, hostels, apartments, and more.
Unique stays: Go ahead, live the dream! Search for treehouses, yurts, or even castles.
Amenities: Some people need a working kitchen, others want a TV, and the rest want free parking. Choose what you need to be comfortable. 
Facilities: Pool? Gym? You’ve got options.
Accessibility: Need step-free entry or grab bars in the shower? Select features for comfort and safety.
Host language: Choose Hosts who speak a language you know.
House rules: Do you want somewhere that allows pets? Are you planning on having any local visitors during your stay? Search for places with rules that suit you."
search_filter_type,What types of search filters exist?,"At the top of the search results page, you’ll find popular filters, such as:

Type of place: From shared rooms to entire places, learn more about the types of places to stay.
Unique listings: Choose from options like lighthouses, cabins, or boats.
Price: Use the sliding scale to narrow down your search within your price range.
Cancellation flexibility:? Think your plans may change? Find stays whose cancellation policies offer flexibility.
Instant Book: Find places you can book without waiting for Host approval.
Rooms and beds: Bedrooms, bathrooms, beds—choose the number that’s right for your group.
Property type: It's your stay, so what's your vibe? Search for villas, hostels, apartments, and more.
Unique stays: Go ahead, live the dream! Search for treehouses, yurts, or even castles.
Amenities: Some people need a working kitchen, others want a TV, and the rest want free parking. Choose what you need to be comfortable. 
Facilities: Pool? Gym? You’ve got options.
Accessibility: Need step-free entry or grab bars in the shower? Select features for comfort and safety.
Host language: Choose Hosts who speak a language you know.
House rules: Do you want somewhere that allows pets? Are you planning on having any local visitors during your stay? Search for places with rules that suit you."
search_filter,What are the search filters for?,"Sometimes you just want to browse. Other times, you know exactly what you want. Search filters are a great way to narrow down your choices when you’re finding a place to stay."
search_filter,Purpose of search filters?,"Sometimes you just want to browse. Other times, you know exactly what you want. Search filters are a great way to narrow down your choices when you’re finding a place to stay."
search_filter,Uses of search filters?,"Sometimes you just want to browse. Other times, you know exactly what you want. Search filters are a great way to narrow down your choices when you’re finding a place to stay."
search_filter,Why should I use search filters?,"Sometimes you just want to browse. Other times, you know exactly what you want. Search filters are a great way to narrow down your choices when you’re finding a place to stay."
search_filter,What are the benefits of using search filters?,"Sometimes you just want to browse. Other times, you know exactly what you want. Search filters are a great way to narrow down your choices when you’re finding a place to stay."
search_filter,What are the advantages of using search filters?,"Sometimes you just want to browse. Other times, you know exactly what you want. Search filters are a great way to narrow down your choices when you’re finding a place to stay."
search_categories_general,How to search by categories?,"Bags are packed and not sure where to go? If guests need inspiration, they can browse Airbnb Categories—collections based on a stay’s unique style, location, or proximity to an activity—to help them find the stay (and style) that’s right for them. Guests can discover more flexible ways to travel—browsing millions of homes they never knew existed. If a guest searches for a specific destination, their search results will include all listings. In addition, Categories will be displayed, making it even easier to discover incredible homes within (or just beyond) their search area."
search_categories_general,Why search by categories?,"Bags are packed and not sure where to go? If guests need inspiration, they can browse Airbnb Categories—collections based on a stay’s unique style, location, or proximity to an activity—to help them find the stay (and style) that’s right for them. Guests can discover more flexible ways to travel—browsing millions of homes they never knew existed. If a guest searches for a specific destination, their search results will include all listings. In addition, Categories will be displayed, making it even easier to discover incredible homes within (or just beyond) their search area."
search_categories_general,Purpose of searching by categories?,"Bags are packed and not sure where to go? If guests need inspiration, they can browse Airbnb Categories—collections based on a stay’s unique style, location, or proximity to an activity—to help them find the stay (and style) that’s right for them. Guests can discover more flexible ways to travel—browsing millions of homes they never knew existed. If a guest searches for a specific destination, their search results will include all listings. In addition, Categories will be displayed, making it even easier to discover incredible homes within (or just beyond) their search area."
search_categories_general,What is categories when I am searching?,"Bags are packed and not sure where to go? If guests need inspiration, they can browse Airbnb Categories—collections based on a stay’s unique style, location, or proximity to an activity—to help them find the stay (and style) that’s right for them. Guests can discover more flexible ways to travel—browsing millions of homes they never knew existed. If a guest searches for a specific destination, their search results will include all listings. In addition, Categories will be displayed, making it even easier to discover incredible homes within (or just beyond) their search area."
search_categories_general,I want to learn more about searching with category.,"Bags are packed and not sure where to go? If guests need inspiration, they can browse Airbnb Categories—collections based on a stay’s unique style, location, or proximity to an activity—to help them find the stay (and style) that’s right for them. Guests can discover more flexible ways to travel—browsing millions of homes they never knew existed. If a guest searches for a specific destination, their search results will include all listings. In addition, Categories will be displayed, making it even easier to discover incredible homes within (or just beyond) their search area."
search_categories_general,Why I should search by category?,"Bags are packed and not sure where to go? If guests need inspiration, they can browse Airbnb Categories—collections based on a stay’s unique style, location, or proximity to an activity—to help them find the stay (and style) that’s right for them. Guests can discover more flexible ways to travel—browsing millions of homes they never knew existed. If a guest searches for a specific destination, their search results will include all listings. In addition, Categories will be displayed, making it even easier to discover incredible homes within (or just beyond) their search area."
search_cancellation_policy,How to search for more flexible cancellation policies?,"Even the best-laid plans can change. Airbnb Hosts get that, which is why many of them offer plenty of time to cancel your reservation penalty-free if something comes up.

Now you can find listings with more flexible cancellation policies by using our search filter. You can search for listings that offer a full refund if you end up needing to cancel, even if it’s close to your departure date.

To use this filter, simply enter your destination and travel dates. On the listings page you can select the cancellation filter to show only listings that offer:

A full refund of nightly rate if you cancel at least 1 day prior to arrival, or,
A full refund of nightly rate if you cancel at least 5 days prior to arrival
You can see the specific cancellation policy your Host has set on their listing before you book which will tell you what date you need to cancel by to avoid any penalties."
search_cancellation_policy,Can I search for more flexible cancellation policies?,"Even the best-laid plans can change. Airbnb Hosts get that, which is why many of them offer plenty of time to cancel your reservation penalty-free if something comes up.

Now you can find listings with more flexible cancellation policies by using our search filter. You can search for listings that offer a full refund if you end up needing to cancel, even if it’s close to your departure date.

To use this filter, simply enter your destination and travel dates. On the listings page you can select the cancellation filter to show only listings that offer:

A full refund of nightly rate if you cancel at least 1 day prior to arrival, or,
A full refund of nightly rate if you cancel at least 5 days prior to arrival
You can see the specific cancellation policy your Host has set on their listing before you book which will tell you what date you need to cancel by to avoid any penalties."
search_cancellation_policy,What are flexible cancellation policies?,"Even the best-laid plans can change. Airbnb Hosts get that, which is why many of them offer plenty of time to cancel your reservation penalty-free if something comes up.

Now you can find listings with more flexible cancellation policies by using our search filter. You can search for listings that offer a full refund if you end up needing to cancel, even if it’s close to your departure date.

To use this filter, simply enter your destination and travel dates. On the listings page you can select the cancellation filter to show only listings that offer:

A full refund of nightly rate if you cancel at least 1 day prior to arrival, or,
A full refund of nightly rate if you cancel at least 5 days prior to arrival
You can see the specific cancellation policy your Host has set on their listing before you book which will tell you what date you need to cancel by to avoid any penalties."
search_cancellation_policy,Looking for more flexible cancellation policies,"Even the best-laid plans can change. Airbnb Hosts get that, which is why many of them offer plenty of time to cancel your reservation penalty-free if something comes up.

Now you can find listings with more flexible cancellation policies by using our search filter. You can search for listings that offer a full refund if you end up needing to cancel, even if it’s close to your departure date.

To use this filter, simply enter your destination and travel dates. On the listings page you can select the cancellation filter to show only listings that offer:

A full refund of nightly rate if you cancel at least 1 day prior to arrival, or,
A full refund of nightly rate if you cancel at least 5 days prior to arrival
You can see the specific cancellation policy your Host has set on their listing before you book which will tell you what date you need to cancel by to avoid any penalties."
search_cancellation_policy,Where to find for cancellation policies that are flexible?,"Even the best-laid plans can change. Airbnb Hosts get that, which is why many of them offer plenty of time to cancel your reservation penalty-free if something comes up.

Now you can find listings with more flexible cancellation policies by using our search filter. You can search for listings that offer a full refund if you end up needing to cancel, even if it’s close to your departure date.

To use this filter, simply enter your destination and travel dates. On the listings page you can select the cancellation filter to show only listings that offer:

A full refund of nightly rate if you cancel at least 1 day prior to arrival, or,
A full refund of nightly rate if you cancel at least 5 days prior to arrival
You can see the specific cancellation policy your Host has set on their listing before you book which will tell you what date you need to cancel by to avoid any penalties."
search_cancellation_policy,Flexible cancellation policies,"Even the best-laid plans can change. Airbnb Hosts get that, which is why many of them offer plenty of time to cancel your reservation penalty-free if something comes up.

Now you can find listings with more flexible cancellation policies by using our search filter. You can search for listings that offer a full refund if you end up needing to cancel, even if it’s close to your departure date.

To use this filter, simply enter your destination and travel dates. On the listings page you can select the cancellation filter to show only listings that offer:

A full refund of nightly rate if you cancel at least 1 day prior to arrival, or,
A full refund of nightly rate if you cancel at least 5 days prior to arrival
You can see the specific cancellation policy your Host has set on their listing before you book which will tell you what date you need to cancel by to avoid any penalties."
search_category,Can I search by categories?,"If a guest searches for a specific destination, their search results will include all listings. In addition, Categories will be displayed, making it even easier to discover incredible homes within (or just beyond) their search area.

If they don’t search for a specific destination, a selection of Categories may appear depending on seasons, location, and any previous guest searches."
search_category,Where can I search with categories in the website?,"If a guest searches for a specific destination, their search results will include all listings. In addition, Categories will be displayed, making it even easier to discover incredible homes within (or just beyond) their search area.

If they don’t search for a specific destination, a selection of Categories may appear depending on seasons, location, and any previous guest searches."
search_category,"I want to search by categories, where to start?","If a guest searches for a specific destination, their search results will include all listings. In addition, Categories will be displayed, making it even easier to discover incredible homes within (or just beyond) their search area.

If they don’t search for a specific destination, a selection of Categories may appear depending on seasons, location, and any previous guest searches."
search_category,Where to find search categories in the website?,"If a guest searches for a specific destination, their search results will include all listings. In addition, Categories will be displayed, making it even easier to discover incredible homes within (or just beyond) their search area.

If they don’t search for a specific destination, a selection of Categories may appear depending on seasons, location, and any previous guest searches."
search_category,Why should I search with category?,"If a guest searches for a specific destination, their search results will include all listings. In addition, Categories will be displayed, making it even easier to discover incredible homes within (or just beyond) their search area.

If they don’t search for a specific destination, a selection of Categories may appear depending on seasons, location, and any previous guest searches."
search_category,Advantages of searching with category?,"If a guest searches for a specific destination, their search results will include all listings. In addition, Categories will be displayed, making it even easier to discover incredible homes within (or just beyond) their search area.

If they don’t search for a specific destination, a selection of Categories may appear depending on seasons, location, and any previous guest searches."
search_split,How to search for split stay listings?,"Want to split longer stays between two different homes?

Guests can try using Split Stays—a feature that pairs two consecutive stays for the span of their dates, allowing them to explore different homes, neighborhoods, or even different destinations, during their trip.

For example, if they’re browsing the Surfing category, Split Stays may show them a pair of homes in Santa Barbara and La Jolla, and then display the distance between both stays on a map so they’ll know where both homes are (and which stay is first). Once they select a Split Stay, they’re guided through an easy-to-use interface to book each stay—one home at a time."
search_split,Ways to search for split stay listings?,"Want to split longer stays between two different homes?

Guests can try using Split Stays—a feature that pairs two consecutive stays for the span of their dates, allowing them to explore different homes, neighborhoods, or even different destinations, during their trip.

For example, if they’re browsing the Surfing category, Split Stays may show them a pair of homes in Santa Barbara and La Jolla, and then display the distance between both stays on a map so they’ll know where both homes are (and which stay is first). Once they select a Split Stay, they’re guided through an easy-to-use interface to book each stay—one home at a time."
search_split,Where to search for listings that have split stay?,"Want to split longer stays between two different homes?

Guests can try using Split Stays—a feature that pairs two consecutive stays for the span of their dates, allowing them to explore different homes, neighborhoods, or even different destinations, during their trip.

For example, if they’re browsing the Surfing category, Split Stays may show them a pair of homes in Santa Barbara and La Jolla, and then display the distance between both stays on a map so they’ll know where both homes are (and which stay is first). Once they select a Split Stay, they’re guided through an easy-to-use interface to book each stay—one home at a time."
search_split,I want to search for split stay listings?,"Want to split longer stays between two different homes?

Guests can try using Split Stays—a feature that pairs two consecutive stays for the span of their dates, allowing them to explore different homes, neighborhoods, or even different destinations, during their trip.

For example, if they’re browsing the Surfing category, Split Stays may show them a pair of homes in Santa Barbara and La Jolla, and then display the distance between both stays on a map so they’ll know where both homes are (and which stay is first). Once they select a Split Stay, they’re guided through an easy-to-use interface to book each stay—one home at a time."
search_split,Can I split my stay?,"Want to split longer stays between two different homes?

Guests can try using Split Stays—a feature that pairs two consecutive stays for the span of their dates, allowing them to explore different homes, neighborhoods, or even different destinations, during their trip.

For example, if they’re browsing the Surfing category, Split Stays may show them a pair of homes in Santa Barbara and La Jolla, and then display the distance between both stays on a map so they’ll know where both homes are (and which stay is first). Once they select a Split Stay, they’re guided through an easy-to-use interface to book each stay—one home at a time."
search_split,Split stay,"Want to split longer stays between two different homes?

Guests can try using Split Stays—a feature that pairs two consecutive stays for the span of their dates, allowing them to explore different homes, neighborhoods, or even different destinations, during their trip.

For example, if they’re browsing the Surfing category, Split Stays may show them a pair of homes in Santa Barbara and La Jolla, and then display the distance between both stays on a map so they’ll know where both homes are (and which stay is first). Once they select a Split Stay, they’re guided through an easy-to-use interface to book each stay—one home at a time."
search_neighbourhood,Can I search by neighbourhood?,"You can search for a specific neighborhood, landmark, or street the same way you would for a city—by typing it into the Location field. (ex: “Sagrada Familia, Barcelona” or “Lombard Street, San Francisco”.) You’ll also find neighborhoods and local points of interest identified on the map in your search results"
search_neighbourhood,How to search by neighbourhood?,"You can search for a specific neighborhood, landmark, or street the same way you would for a city—by typing it into the Location field. (ex: “Sagrada Familia, Barcelona” or “Lombard Street, San Francisco”.) You’ll also find neighborhoods and local points of interest identified on the map in your search results"
search_neighbourhood,"I want to search by neighbourhood, where?","You can search for a specific neighborhood, landmark, or street the same way you would for a city—by typing it into the Location field. (ex: “Sagrada Familia, Barcelona” or “Lombard Street, San Francisco”.) You’ll also find neighborhoods and local points of interest identified on the map in your search results"
search_neighbourhood,Search by neighbourhood.,"You can search for a specific neighborhood, landmark, or street the same way you would for a city—by typing it into the Location field. (ex: “Sagrada Familia, Barcelona” or “Lombard Street, San Francisco”.) You’ll also find neighborhoods and local points of interest identified on the map in your search results"
search_neighbourhood,Where to search by neighbourhood?,"You can search for a specific neighborhood, landmark, or street the same way you would for a city—by typing it into the Location field. (ex: “Sagrada Familia, Barcelona” or “Lombard Street, San Francisco”.) You’ll also find neighborhoods and local points of interest identified on the map in your search results"
search_neighbourhood,How to search for a specific location?,"You can search for a specific neighborhood, landmark, or street the same way you would for a city—by typing it into the Location field. (ex: “Sagrada Familia, Barcelona” or “Lombard Street, San Francisco”.) You’ll also find neighborhoods and local points of interest identified on the map in your search results"
listing_availability,How to know if a listing is available,"As long as you enter your destination, travel dates, and number of guests when searching on Airbnb, all listings that appear should be available.

You can also consider messaging the Host to confirm availability, along with any other details. We encourage Hosts to keep their calendars up to date, but it doesn’t hurt to check."
listing_availability,How do I know if a listing is available,"As long as you enter your destination, travel dates, and number of guests when searching on Airbnb, all listings that appear should be available.

You can also consider messaging the Host to confirm availability, along with any other details. We encourage Hosts to keep their calendars up to date, but it doesn’t hurt to check."
listing_availability,How to understand a listing's availability status is available?,"As long as you enter your destination, travel dates, and number of guests when searching on Airbnb, all listings that appear should be available.

You can also consider messaging the Host to confirm availability, along with any other details. We encourage Hosts to keep their calendars up to date, but it doesn’t hurt to check."
listing_availability,How do I know if a listing is available for me to book?,"As long as you enter your destination, travel dates, and number of guests when searching on Airbnb, all listings that appear should be available.

You can also consider messaging the Host to confirm availability, along with any other details. We encourage Hosts to keep their calendars up to date, but it doesn’t hurt to check."
listing_availability,Are every listing shown available for booking?,"As long as you enter your destination, travel dates, and number of guests when searching on Airbnb, all listings that appear should be available.

You can also consider messaging the Host to confirm availability, along with any other details. We encourage Hosts to keep their calendars up to date, but it doesn’t hurt to check."
listing_availability,I want to book from a listing,"As long as you enter your destination, travel dates, and number of guests when searching on Airbnb, all listings that appear should be available.

You can also consider messaging the Host to confirm availability, along with any other details. We encourage Hosts to keep their calendars up to date, but it doesn’t hurt to check."
listing_type,What types of places are available to stay?,"Entire place
Entire places are best if you're seeking a home away from home. With an entire place, you'll have the whole space to yourself. This usually includes a bedroom, a bathroom, a kitchen, and a separate, dedicated entrance. Hosts should note in the description if they'll be on the property or not (ex: ""Host occupies first floor of the home""), and provide further details on the listing.

Private rooms
Private rooms are great when you prefer a little privacy, yet still value a local connection. When you book a private room, you'll have your own private room for sleeping and may share some spaces with others. You might need to walk through indoor spaces that another host or guest may occupy to get to your room.

Hotel rooms
Whether private or shared, hotel rooms provide a level of service and hospitality associated with traditional hotels. The rooms are available in boutique or lifestyle hotels, hostels, bed and breakfasts, or similar properties. They typically include vibrant common areas and rooms with unique touches.

Shared rooms
Shared rooms are for when you don't mind sharing a space with others. When you book a shared room, you'll be sleeping in a space that is shared with others and share the entire space with other people. Shared rooms are popular among flexible travelers looking for new friends and budget-friendly stays."
listing_type,What types of places are offered by Airbnb hosts?,"Entire place
Entire places are best if you're seeking a home away from home. With an entire place, you'll have the whole space to yourself. This usually includes a bedroom, a bathroom, a kitchen, and a separate, dedicated entrance. Hosts should note in the description if they'll be on the property or not (ex: ""Host occupies first floor of the home""), and provide further details on the listing.

Private rooms
Private rooms are great when you prefer a little privacy, yet still value a local connection. When you book a private room, you'll have your own private room for sleeping and may share some spaces with others. You might need to walk through indoor spaces that another host or guest may occupy to get to your room.

Hotel rooms
Whether private or shared, hotel rooms provide a level of service and hospitality associated with traditional hotels. The rooms are available in boutique or lifestyle hotels, hostels, bed and breakfasts, or similar properties. They typically include vibrant common areas and rooms with unique touches.

Shared rooms
Shared rooms are for when you don't mind sharing a space with others. When you book a shared room, you'll be sleeping in a space that is shared with others and share the entire space with other people. Shared rooms are popular among flexible travelers looking for new friends and budget-friendly stays."
listing_type,What types of places are available for me to stay?,"Entire place
Entire places are best if you're seeking a home away from home. With an entire place, you'll have the whole space to yourself. This usually includes a bedroom, a bathroom, a kitchen, and a separate, dedicated entrance. Hosts should note in the description if they'll be on the property or not (ex: ""Host occupies first floor of the home""), and provide further details on the listing.

Private rooms
Private rooms are great when you prefer a little privacy, yet still value a local connection. When you book a private room, you'll have your own private room for sleeping and may share some spaces with others. You might need to walk through indoor spaces that another host or guest may occupy to get to your room.

Hotel rooms
Whether private or shared, hotel rooms provide a level of service and hospitality associated with traditional hotels. The rooms are available in boutique or lifestyle hotels, hostels, bed and breakfasts, or similar properties. They typically include vibrant common areas and rooms with unique touches.

Shared rooms
Shared rooms are for when you don't mind sharing a space with others. When you book a shared room, you'll be sleeping in a space that is shared with others and share the entire space with other people. Shared rooms are popular among flexible travelers looking for new friends and budget-friendly stays."
listing_type,What types of places are offered by Airbnb hosts for me to book?,"Entire place
Entire places are best if you're seeking a home away from home. With an entire place, you'll have the whole space to yourself. This usually includes a bedroom, a bathroom, a kitchen, and a separate, dedicated entrance. Hosts should note in the description if they'll be on the property or not (ex: ""Host occupies first floor of the home""), and provide further details on the listing.

Private rooms
Private rooms are great when you prefer a little privacy, yet still value a local connection. When you book a private room, you'll have your own private room for sleeping and may share some spaces with others. You might need to walk through indoor spaces that another host or guest may occupy to get to your room.

Hotel rooms
Whether private or shared, hotel rooms provide a level of service and hospitality associated with traditional hotels. The rooms are available in boutique or lifestyle hotels, hostels, bed and breakfasts, or similar properties. They typically include vibrant common areas and rooms with unique touches.

Shared rooms
Shared rooms are for when you don't mind sharing a space with others. When you book a shared room, you'll be sleeping in a space that is shared with others and share the entire space with other people. Shared rooms are popular among flexible travelers looking for new friends and budget-friendly stays."
listing_type,What are the types of places I can book?,"Entire place
Entire places are best if you're seeking a home away from home. With an entire place, you'll have the whole space to yourself. This usually includes a bedroom, a bathroom, a kitchen, and a separate, dedicated entrance. Hosts should note in the description if they'll be on the property or not (ex: ""Host occupies first floor of the home""), and provide further details on the listing.

Private rooms
Private rooms are great when you prefer a little privacy, yet still value a local connection. When you book a private room, you'll have your own private room for sleeping and may share some spaces with others. You might need to walk through indoor spaces that another host or guest may occupy to get to your room.

Hotel rooms
Whether private or shared, hotel rooms provide a level of service and hospitality associated with traditional hotels. The rooms are available in boutique or lifestyle hotels, hostels, bed and breakfasts, or similar properties. They typically include vibrant common areas and rooms with unique touches.

Shared rooms
Shared rooms are for when you don't mind sharing a space with others. When you book a shared room, you'll be sleeping in a space that is shared with others and share the entire space with other people. Shared rooms are popular among flexible travelers looking for new friends and budget-friendly stays."
listing_type,Types of places for booking?,"Entire place
Entire places are best if you're seeking a home away from home. With an entire place, you'll have the whole space to yourself. This usually includes a bedroom, a bathroom, a kitchen, and a separate, dedicated entrance. Hosts should note in the description if they'll be on the property or not (ex: ""Host occupies first floor of the home""), and provide further details on the listing.

Private rooms
Private rooms are great when you prefer a little privacy, yet still value a local connection. When you book a private room, you'll have your own private room for sleeping and may share some spaces with others. You might need to walk through indoor spaces that another host or guest may occupy to get to your room.

Hotel rooms
Whether private or shared, hotel rooms provide a level of service and hospitality associated with traditional hotels. The rooms are available in boutique or lifestyle hotels, hostels, bed and breakfasts, or similar properties. They typically include vibrant common areas and rooms with unique touches.

Shared rooms
Shared rooms are for when you don't mind sharing a space with others. When you book a shared room, you'll be sleeping in a space that is shared with others and share the entire space with other people. Shared rooms are popular among flexible travelers looking for new friends and budget-friendly stays."
listing_selfcheck,What does self-checkin means on the listing?,"Self check-in means guests can access a place without needing the Host to be there. Any time after their designated check-in time on their arrival date, guests can conveniently gain access via:

A key lockbox
A smartlock
A keypad
A key or access via the building staff, such as a doorperson or front desk attendant, who must be available 24/7 to do so"
listing_selfcheck,What is self-checkin?,"Self check-in means guests can access a place without needing the Host to be there. Any time after their designated check-in time on their arrival date, guests can conveniently gain access via:

A key lockbox
A smartlock
A keypad
A key or access via the building staff, such as a doorperson or front desk attendant, who must be available 24/7 to do so"
