niat,Jawapan
penyenaraian_jenis,"Keseluruhan tempat Keseluruhan tempat adalah terbaik jika anda mencari rumah yang jauh dari rumah. Dengan keseluruhan tempat, anda akan mempunyai seluruh ruang untuk diri anda sendiri. Ini biasanya termasuk bilik tidur, bilik mandi, dapur dan pintu masuk khusus yang berasingan. Hos harus mencatat dalam huraian jika mereka akan berada di hartanah atau tidak (cth: ""Hos menduduki tingkat satu rumah"") dan memberikan butiran lanjut tentang penyenaraian. Bilik persendirian Bilik persendirian bagus apabila anda lebih suka sedikit privasi, namun masih menghargai sambungan tempatan. Apabila anda menempah bilik peribadi, anda akan mempunyai bilik peribadi anda sendiri untuk tidur dan mungkin berkongsi beberapa ruang dengan orang lain. Anda mungkin perlu berjalan melalui ruang dalaman yang mungkin diduduki oleh hos atau tetamu lain untuk ke bilik anda. Bilik hotel Sama ada peribadi atau berkongsi, bilik hotel menyediakan tahap perkhidmatan dan layanan yang berkaitan dengan hotel tradisional. Bilik-bilik boleh didapati di hotel butik atau gaya hidup, asrama, inap-sarapan, atau hartanah yang serupa. Ia biasanya termasuk kawasan umum yang meriah dan bilik dengan sentuhan unik. Bilik kongsi Bilik kongsi adalah untuk apabila anda tidak keberatan berkongsi ruang dengan orang lain. Apabila anda menempah bilik kongsi, anda akan tidur di ruang yang dikongsi dengan orang lain dan berkongsi seluruh ruang dengan orang lain. Bilik berkongsi popular di kalangan pengembara fleksibel yang mencari rakan baharu dan penginapan mesra bajet."
penyenaraian_daftarmasukdiri,"Daftar masuk sendiri bermakna tetamu boleh mengakses tempat tanpa memerlukan Hos untuk berada di sana. Pada bila-bila masa selepas waktu daftar masuk yang ditetapkan pada tarikh ketibaan mereka, tetamu boleh mendapatkan akses dengan mudah melalui: Kotak kunci kunci Kunci pintar Pad kekunci Kunci atau akses melalui kakitangan bangunan, seperti penjaga pintu atau penjaga meja depan, yang mesti ada. 24/7 untuk berbuat demikian"
penyenaraian_segera,"Penyenaraian tempah Segera membolehkan anda membuat tempahan dengan segera tanpa perlu menghantar permintaan kepada Hos untuk kelulusan, dengan syarat anda telah melengkapkan persediaan akaun anda. Tiada bayaran tambahan dan ia amat sesuai untuk perjalanan saat akhir. Hanya tapis carian anda untuk menunjukkan hanya penyenaraian tempah Segera dan tempah!"
tag_senarai,"Apabila menyemak imbas ulasan untuk penyenaraian tertentu, anda mungkin mendapati bahawa sesetengah ulasan mengandungi teg yang mengenal pasti jenis penginapan yang dimiliki tetamu. Teg ini direka bentuk untuk membantu anda mencari ulasan yang mungkin berkaitan dengan perjalanan anda. Teg yang mungkin anda temui pada penyenaraian ialah: TINGGAL LAMA: menginap di tempat tetamu menginap selama sekurang-kurangnya 28 hari TRIP HUJUNG MINGGU: ulasan penginapan hujung minggu yang bermula pada hari Jumaat atau Sabtu dan berakhir pada TRIP MINIT TERAKHIR Ahad: mana-mana penginapan ditempah kurang daripada 2 hari lebih awal TRIP BERKUMPULAN: ulasan penginapan dengan sekurang-kurangnya 4 orang dewasa dan tiada kanak-kanak atau bayi TRIP KELUARGA: ulasan penginapan dengan sekurang-kurangnya seorang kanak-kanak atau bayi. Teg ini mungkin atau mungkin tidak dipaparkan bergantung pada pilihan carian yang telah anda pilih untuk penginapan tertentu anda."
penyenaraian_wifi,"Untuk mengetahui kelajuan wifi pada penyenaraian: Pergi ke bahagian Apa yang ditawarkan oleh tempat ini Di sebelah Wifi, anda akan menemui kelajuan muat turun dalam Mbps. Jika wifi lebih besar daripada 50 Mbps, anda akan melihat Wifi Pantas dan bukannya Wifi Jika anda pergi ke Tunjukkan semua kemudahan dan tatal ke bahagian Internet dan pejabat, di sebelah Wifi, anda akan melihat butiran lanjut tentang aktiviti yang boleh dilakukan oleh kelajuan yang berbeza. umumnya menyokong"
penyenaraian_bulanan,"Penyenaraian yang diserlahkan dalam bahagian Penginapan Bulanan Airbnb memenuhi kriteria ini. Untuk menerima penginapan lebih lama, penyenaraian mesti tersedia untuk tempahan 28 hari atau lebih. Penyenaraian ini telah dilengkapi dengan kemudahan yang menampung perjalanan yang lebih lama, termasuk: dapur, wifi, barangan keperluan (kertas tandas, sabun, tuala, linen katil dan bantal), harga bulanan diskaun dan pembayaran tertunda, menginap selama 28 malam atau lebih membuka peluang baharu kadar diskaun untuk penginapan anda. Penyenaraian yang termasuk dalam Penginapan Bulanan mesti sama ada memberikan diskaun atau diberi harga secara eksklusif untuk 28 hari atau lebih lama. Tetamu yang menginap selama 28 hari atau lebih lama boleh membayar penginapan mereka secara bulanan."
penyenaraian_kecualibayaran balik,Pilihan yang tidak boleh dibayar balik ialah diskaun yang membolehkan anda menempah pada harga yang lebih rendah tetapi tidak boleh dibatalkan untuk bayaran balik penuh melainkan anda mempunyai keadaan yang meringankan. Hos boleh menawarkannya selain diskaun lain seperti diskaun bulanan atau mingguan. Harga diskaun ialah harga yang anda akan lihat dalam hasil carian dan akan tersedia untuk tempahan sehingga: 1 hari sebelum daftar masuk yang diingini untuk penyenaraian pembatalan Fleksibel 5 hari sebelum daftar masuk yang diingini untuk penyenaraian pembatalan sederhana 14 hari sebelum daftar masuk yang diingini untuk penyenaraian pembatalan yang ketat
penyenaraian_lesen,"Sesetengah bandar memerlukan Hos untuk mendapatkan lesen atau nombor pendaftaran untuk menyenaraikan tempat mereka di Airbnb. Medan yang sepadan pada penyenaraian mereka membolehkan mereka menunjukkan nombor itu untuk pematuhan. Tidak setiap bandar memerlukan ini, jadi ketiadaan nombor pendaftaran tidak bermakna Hos tidak mematuhi—mereka tidak perlu mendaftar. Daripada nombor, anda mungkin menemui mesej lain dalam medan itu: Pendaftaran bandar belum selesai: Hos telah memulakan proses pendaftaran tetapi belum diberikan lesen atau nombor pendaftaran lagi—tak mengapa untuk menempah penyenaraian ini Dikecualikan: Penyenaraian dikecualikan daripada pendaftaran atas sebab yang ditentukan oleh bandar—penyenaraian ini juga sesuai untuk ditempah"
senaraihajat_simpan,Kami akan membantu anda menjejaki semua perkara menarik yang anda temui di Airbnb. Cuma klik atau ketik Jantung pada mana-mana Pengalaman atau tempat tinggal yang ingin anda ingati. Anda akan mempunyai pilihan untuk membuat dan menamakan senarai hajat baharu atau menambahkannya pada senarai hajat sedia ada.
senaraihajat_kongsi,"Klik Profil anda dan pergi ke Senarai Hajat anda Pilih senarai hajat yang anda ingin kongsi Klik tiga titik Klik Hantar jemputan dan pilih cara anda mahu kongsi senarai hajat anda Untuk mengalih keluar akses kepada senarai hajat, pilih gambar profil orang itu dalam senarai dan klik atau ketik Alih keluar."
senaraihajat_kongsi_rakan,"Anda boleh menjemput seseorang ke senarai hajat dengan menghantar e-mel atau sms kepada mereka, atau melalui media sosial, atau hanya dengan menyalin pautan. Satu perkara yang perlu diambil perhatian: Sesiapa sahaja yang mempunyai pautan ke senarai hajat anda boleh melihatnya. Walau bagaimanapun, mereka yang melihatnya tidak akan melihat nama anda sebagai pengarang Senarai Hajat dan tidak boleh menambah atau mengalih keluar penyenaraian Airbnb daripada senarai hajat."
senaraihajat_kongsi_paparan,"Anda boleh menjemput seseorang ke senarai hajat dengan menghantar e-mel atau sms kepada mereka, atau melalui media sosial, atau hanya dengan menyalin pautan. Satu perkara yang perlu diambil perhatian: Sesiapa sahaja yang mempunyai pautan ke senarai hajat anda boleh melihatnya. Walau bagaimanapun, mereka yang melihatnya tidak akan melihat nama anda sebagai pengarang Senarai Hajat dan tidak boleh menambah atau mengalih keluar penyenaraian Airbnb daripada senarai hajat."
senaraihajat__padam,"Klik Profil anda dan pergi ke Senarai Hajat anda Pilih senarai hajat yang ingin anda kongsi Klik tiga titik Klik Padam senarai hajat ini, sahkan pilihan anda dan kemudian klik Padam"
tempah_baru,"Memang menarik untuk terus ke carian, tetapi perkara pertama dahulu: Lengkapkan profil anda. Ini memberi peluang kepada Hos yang berpotensi untuk mengetahui tentang anda semasa menyemak permintaan perjalanan anda. Pastikan anda mengesahkan ID anda dan sertakan foto profil juga—sesetengah Hos memerlukannya. Semasa mencari tempat, masukkan tarikh dan bilangan tetamu anda untuk mendapatkan harga yang paling tepat. Semak perkara berikut dengan teliti untuk setiap penyenaraian: Penerangan Foto Ulasan Peraturan rumah Kemudahan Polisi pembatalan Jangan ragu untuk menghantar mesej kepada Hos dengan sebarang soalan tambahan—biasanya mereka akan membalas dalam masa 24 jam. Sebaik sahaja anda telah menetap di tempat, tempahlah! Setiap Hos mempunyai gaya mereka sendiri: Ada yang berbesar hati untuk membenarkan anda menempah serta-merta, manakala yang lain memerlukan anda menghantar permintaan untuk kelulusan. Ketahui cara menempah dan perkara yang diharapkan."
tempah_kawankeluarga,"Anda tidak boleh menempah bagi pihak mereka melainkan anda tinggal bersama. Kami memerlukan semua tempahan perjalanan peribadi ditempah oleh tetamu sendiri kerana Hos bergantung pada membaca profil, ulasan dan pengesahan lain mereka semasa proses kelulusan."
kerja_tempah,"Jika syarikat anda mendaftar dalam Airbnb for Work, anda boleh menetapkan orang untuk menempah perjalanan bagi pihak orang lain."
lawatan_tempah,"Untuk membantu memastikan keselamatan dan privasi tetamu dan Hos, lengkapkan tempahan anda sebelum meminta untuk melawat. Kami hanya mengeluarkan maklumat hubungan selepas tempahan disahkan. Selain itu, pastikan anda menyimpan semua tempahan, pemesejan dan transaksi kewangan secara langsung di tapak web atau apl Airbnb. Terdapat banyak cara untuk mendapatkan idea yang jelas tentang tempat tanpa melawat hartanah: Semak penyenaraian dengan teliti dan hantar mesej kepada Hos dengan soalan khusus Semak pengesahan profil mereka Baca ulasan untuk maklumat lanjut Semak imbas foto yang disahkan"
tempah_pecah,"Split stays ialah ciri yang membolehkan anda membahagikan penginapan yang lebih lama antara 2 penyenaraian berbeza. Setiap penginapan berpecah berpasangan 2 penginapan berturut-turut untuk tempoh tarikh anda, membolehkan anda meneroka penyenaraian, kejiranan atau destinasi yang berbeza, semasa perjalanan anda. Apabila mencari penginapan dengan tarikh seminggu atau lebih, penginapan berpecah muncul secara automatik pada penghujung hasil carian anda dalam kategori Semua penyenaraian jika terdapat kurang daripada 300 penyenaraian yang memenuhi kriteria carian anda. Cuma tatal ke bawah untuk melihat pelbagai pilihan untuk membahagikan perjalanan anda antara 2 penyenaraian yang agak hampir antara satu sama lain."
tempah_pecahcara,"Klik pada kad tinggal berpecah dalam hasil anda. Ia akan membuka pengalaman penyenaraian yang serupa dan anda akan dapat mengklik setiap satu daripada 2 penyenaraian yang dipaparkan pada skrin yang sama. Anda akan dapat melihat semua butiran setiap penyenaraian seperti biasa. Klik salah satu daripada senarai dan mulakan proses pembayaran. Lengkapkan proses pembayaran untuk penyenaraian pertama. Setelah penyenaraian itu dikhaskan, anda akan dibimbing untuk melengkapkan penyenaraian kedua."
tempah_pecahcara_syarat,"Jika anda hanya ingin menempah salah satu penyenaraian dalam penginapan, anda boleh melengkapkan pembayaran untuk salah satu penyenaraian dan kemudian keluar dari daftar keluar untuk penyenaraian lain. Penyenaraian pertama akan kekal dikhaskan di bawah akaun anda. Anda kemudian boleh memilih untuk mencari penyenaraian alternatif untuk tarikh yang tinggal anda. Penginapan terpisah tidak membenarkan anda mengedit tarikh semasa proses pembayaran. Jika anda ingin mengedit tarikh, anda boleh membuka penyenaraian itu secara berasingan, melaraskan tarikh tersebut dan menempah penyenaraian itu secara berasingan seperti biasa. Anda akan dialih keluar daripada pilihan tinggal berpecah."
tempah_sebelum_tinggal,"Perkenalkan diri anda. Kongsi bio anda dalam profil anda dan sahkan identiti anda. Hos ingin mengetahui siapa anda dan mungkin lebih berkemungkinan menerima permintaan anda. Pastikan ia sepadan. Periksa foto, ulasan dan peraturan rumah untuk memastikan ruang dan gaya pengehosan sesuai dengan keperluan anda. Katakan hai. Jangan ragu untuk menghubungi Hos untuk sebarang pertanyaan."
tempah_sebelum_perjalanan,Bercakap dengan Hos anda. Sampaikan jangkaan dan keperluan khas anda dengan jelas. Beri mereka pandangan. Beritahu mereka jika anda mungkin lewat untuk daftar masuk.
tempah_selepas,"Tinggalkan ulasan. Sentiasa tinggalkan ulasan jujur untuk Hos anda. Mereka akan dijemput untuk melakukan perkara yang sama untuk anda. Jadilah membina. Beritahu mereka apa yang anda suka, perkara yang perlu diusahakan, dan jangan teragak-agak untuk menyanyikan pujian mereka jika anda mahu!"
aircover,"AirCover melindungi anda daripada banyak isu yang mungkin timbul semasa penginapan anda—seperti panas yang keluar pada musim sejuk—tetapi ia tidak termasuk lebih banyak kesulitan kecil, seperti pembakar roti yang rosak. Jika isu timbul semasa penginapan anda, kami mengesyorkan anda menghubungi Hos anda terlebih dahulu untuk mengetahui sama ada mereka boleh menyelesaikannya dengan mudah. Jika mereka tidak dapat, anda mempunyai 72 jam dari masa anda mula-mula menemui masalah untuk menghubungi kami dan kami akan menelitinya. Jika kami mendapati isu itu dilindungi oleh AirCover, kami akan memberikan anda bayaran balik penuh atau sebahagian, atau, bergantung pada keadaan, mencari tempat penginapan yang serupa atau lebih baik untuk anda."
peraturan_aircover,"AirCover ialah program perlindungan komprehensif yang disertakan secara percuma dengan setiap tempahan. Ia termasuk Polisi Tempahan Semula dan Bayaran Balik kami, Talian Keselamatan 24 jam yang berdedikasi, dan jenis sokongan penting yang lain. AirCover melindungi anda daripada isu perjalanan teruk yang mungkin timbul semasa penginapan anda, termasuk: Jika Hos anda membatalkan tempahan anda dalam masa 30 hari dari tarikh daftar masuk anda Jika anda tidak dapat masuk ke penyenaraian anda, dan Hos anda tidak dapat membantu anda masuk Jika Hos, orang lain atau haiwan peliharaan berada di dalam ruang semasa penginapan anda, dan ia tidak disebut dalam perihalan penyenaraian Jika penyenaraian tidak boleh didiami semasa daftar masuk kerana kebersihan, keselamatan atau sebab kesihatan Jika penerangan penyenaraian tidak tepat tentang perkara penting. Sebagai contoh, jika rumah itu tiada kemudahan utama yang diiklankan (seperti peti sejuk), ia adalah jenis rumah yang berbeza, atau bilangan bilik tidur yang salah Jika isu timbul semasa penginapan anda, anda perlu menghubungi anda terlebih dahulu. kepada Hos anda untuk melihat sama ada mereka boleh menyelesaikannya dengan mudah. Jika mereka tidak dapat, hubungi kami dalam masa 72 jam selepas mengetahui masalah itu. Jika kami mendapati isu itu dilindungi oleh AirCover, kami akan memberikan anda bayaran balik penuh atau sebahagian, atau, bergantung pada keadaan, mencari tempat penginapan yang serupa atau lebih baik untuk anda."
keperluan_tempah,"Sebelum menempah penginapan atau Pengalaman, kami mungkin meminta ID kerajaan atau anda mengesahkan identiti anda. Kami perlu mengetahui beberapa maklumat asas—yang kami tidak kongsikan dengan Hos atau orang lain. Kami juga menggalakkan foto profil, dan sesetengah Hos mungkin memerlukannya, tetapi foto profil tidak dipaparkan sehingga selepas tempahan disahkan. Kami memerlukan anda: Nama penuh Alamat e-mel Nombor telefon yang disahkan Maklumat pembayaran Hos anda mungkin meminta: Mesej pengenalan ringkas Perjanjian kepada peraturan rumah"
keperluan_umur,"Kita semua suka mengembara ke seluruh dunia, tetapi adalah melanggar Syarat Perkhidmatan kami untuk sesiapa di bawah umur 18 tahun untuk membuat akaun untuk melancong atau menjadi hos."
perjalanan_anak,"Ramai daripada Hos kami berbangga kerana mencipta ruang untuk percutian keluarga yang tidak dapat dilupakan. Dan sesetengah Hos menyatakan bahawa ruang mereka mungkin tidak selamat atau tidak sesuai untuk kanak-kanak atau bayi. Semuanya harus ada dalam butiran penyenaraian, tetapi sila hantar mesej kepada Hos jika anda mempunyai soalan. Beritahu Hos siapa yang akan datang—termasuk bayi dan kanak-kanak—semasa membuat permintaan perjalanan. Walaupun bayi (kanak-kanak di bawah umur 2 tahun) tidak selalunya dikenakan sebarang kos tambahan, sesetengah Hos mengira kanak-kanak sebagai tetamu, yang boleh menambah bayaran tetamu tambahan pada tempahan."
kebolehcapaian_haiwan,"Haiwan Servis: Anjing atau kuda kecil yang dilatih secara individu untuk melakukan kerja atau melaksanakan tugas untuk orang kurang upaya. Perkara yang kami benarkan: Tetamu dibenarkan ditemani oleh haiwan khidmat semasa penginapan atau Pengalaman dan tidak perlu mendedahkan kehadiran haiwan khidmat sebelum membuat tempahan. Hos mungkin layak mendapat pengecualian dalam keadaan tertentu — contohnya, jika haiwan khidmat secara langsung mengancam kesihatan atau keselamatan mereka. Hos hanya dibenarkan bertanya perkara berikut tentang keperluan tetamu untuk haiwan khidmat: Sama ada tetamu memerlukan haiwan khidmat mereka kerana hilang upaya Apakah kerja atau tugas haiwan khidmat telah dilatih untuk melaksanakan Perkara yang kami tidak benarkan: Apabila tetamu ditemani oleh haiwan khidmat, Hos tidak dibenarkan untuk: Menolak tempahan Mengenakan bayaran haiwan peliharaan atau bayaran tambahan lain Memohon layanan berbeza Menggunakan bahasa diskriminasi Menahan tetamu kepada peraturan yang berbeza Haiwan khidmat tetamu tidak boleh: Di luar kawalan Tidak terkawal Ditinggalkan bersendirian di penyenaraian tanpa kelulusan terlebih dahulu Dibenarkan ke kawasan yang dianggap tidak dibenarkan kepada tetamu Dibenarkan di ruang awam tanpa diikat, diikat atau ditambat dan bukan di bawah kawalan tetamu Jika anda berada di Brazil, Hos dibenarkan bertanya perkara berikut tentang tetamu keperluan untuk haiwan khidmat: Minta maklumat untuk mengenal pasti dan membezakan haiwan perkhidmatan dengan sewajarnya daripada mana-mana anjing/haiwan peliharaan emosi lain Kad pengenalan dan pengenalan plat pengesahan yang dikeluarkan oleh pusat latihan atau pengajar bekerja sendiri yang mengandungi maklumat berikut: Kad ID Nama Tutor dan Haiwan Nama pusat latihan atau CNPJ Pusat Latihan pengajar atau CPF pengajar Gambar Tutor dan haiwan Plat Nama Tutor dan Haiwan Nama pusat latihan atau CNPJ Pusat Latihan pengajar atau CPF pengajar Minta kad vaksinasi haiwan yang dikemas kini, dengan bukti vaksinasi pelbagai dan anti-rabies, ditandatangani oleh doktor haiwan yang berdaftar dengan badan kawal selia profesion. Tutor juga perlu mempunyai peralatan haiwan, yang terdiri daripada kolar, tali, dan abah-abah dengan pemegang. Haiwan Sokongan Emosi: Haiwan yang memberikan persahabatan, melegakan kesunyian, atau membantu dengan kemurungan, kebimbangan, atau fobia tertentu tetapi tidak perlu mempunyai latihan khas untuk melaksanakan tugas yang membantu orang kurang upaya Perkara yang kami benarkan: Melainkan tempahan adalah tinggal di New York atau California (AS) atau lokasi lain di mana undang-undang terpakai melarangnya: Hos boleh mengenakan bayaran haiwan peliharaan untuk tetamu yang melancong dengan haiwan sokongan emosi Hos dibenarkan menolak kehadiran haiwan sokongan emosi daripada penginapan atau Alami Apa yang kami tidak benarkan: Untuk bidang kuasa di mana Hos dikehendaki menerima haiwan sokongan emosi (melainkan Hos mempunyai pengecualian) Hos tidak boleh: Mengenakan yuran haiwan peliharaan, menolak tetamu atau menggunakan peraturan, layanan atau tingkah laku yang berbeza kepada tetamu yang melancong dengan haiwan sokongan emosi Minta maklumat atau dokumentasi tentang haiwan sokongan emosi tetamu di luar soalan yang digariskan di atas untuk haiwan perkhidmatan Untuk bidang kuasa wh Sebelum Hos dikehendaki menerima haiwan sokongan emosi, haiwan sokongan emosi tetamu tidak boleh: Di luar kawalan Tidak terkawal Ditinggalkan bersendirian di penyenaraian tanpa kelulusan terlebih dahulu Dibenarkan ke kawasan yang dianggap tidak dibenarkan kepada tetamu Dibenarkan di ruang awam tanpa dimanfaatkan, diikat, atau ditambat dan bukan di bawah kawalan tetamu"
