意图,回应
列表不退款,不可退款选项是一种折扣，可让您以较低的价格预订，但除非您有特殊情况，否则无法取消全额退款。房东可以在其他折扣（如每月或每周折扣）的基础上提供它。折扣价格是您将在搜索结果中看到的价格，并且可以预订到： 灵活取消房源在所需入住前 1 天 中等取消房源在所需入住前 14 天对于严格取消列表
列表许可,一些城市要求房东获得许可证或注册号才能在 爱彼迎 上列出他们的房源。他们列表中的相应字段允许他们显示该编号以确保合规性。并非每个城市都要求这样做，因此没有注册号并不意味着房东不合规——他们只是不需要注册。您可能会在该字段中找到另一条消息，而不是编号： 城市注册待定：房东已开始注册过程，但尚未获得许可证或注册号 - 预订这些房源完全没问题 除了房源是免税的由于城市确定的原因而从注册开始——这些房源也完全可以预订
愿望单保存,我们将帮助您跟踪您在 爱彼迎 上发现的所有精彩内容。只需单击或点击任何您想要记住的体验或住宿地点上的心。您可以选择创建和命名新的愿望单或将其添加到现有的愿望单。
愿望单分享,单击您的个人资料并转到您的愿望单 选择您要共享的愿望单 单击三个点 单击发送邀请并选择您希望如何共享您的愿望单 要删除对愿望单的访问权限，请在列表中选择此人的个人资料图片，然后单击或点击消除。
愿望单朋友分享,您可以通过向他们发送电子邮件或短信，或通过社交媒体，或仅通过复制链接来邀请某人加入愿望单。需要注意的一件事：任何拥有您的愿望单链接的人都可以查看它。但是，查看它的人不会将您的名字视为愿望单作者，也无法在愿望单中添加或删除 爱彼迎 房源。
愿望单分享显示,您可以通过向他们发送电子邮件或短信，或通过社交媒体，或仅通过复制链接来邀请某人加入愿望单。需要注意的一件事：任何拥有您的愿望单链接的人都可以查看它。但是，查看它的人不会将您的名字视为愿望单作者，也无法在愿望单中添加或删除 爱彼迎 房源。
愿望单删除,单击您的个人资料并转到您的愿望单 选择您要分享的愿望单 单击三个点 单击删除此愿望单，确认您的选择，然后单击删除
预订新,直接进入搜索很诱人，但首先要做的是：完成您的个人资料。这让潜在的房东有机会在查看您的旅行申请时了解您。请务必验证您的身份证件并附上个人资料照片 - 一些房东需要它们。搜索地点时，请提供您的日期和客人人数，以获得最准确的价格。仔细查看每个房源的以下内容： 描述 图片 评论 房屋规定 便利设施 取消政策 如有任何其他问题，请随时向房东发送消息——他们通常会在 24 小时内回复。选好地方后，就预定吧！每个房东都有自己的风格：有些房东很乐意让您立即预订，而有些房东则要求您发送批准请求。了解如何预订和期待什么。
预订朋友家人,除非你们住在一起，否则您不能代表他们预订。我们要求房客自行预订所有个人旅行预订，因为房东在批准过程中依赖阅读他们的个人资料、评论和其他验证。
预订工作,如果您的公司注册了 爱彼迎 for Work，您可以指定人员代表他人预订旅行。
预订参观,为帮助确保客人和房东的安全和隐私，请在要求访问之前完成您的预订。我们仅在预订确认后才会发布联络信息。此外，请务必将所有预订、消息传递和财务交易直接保存在爱彼迎网站或应用程序上。有很多方法可以让您在不访问酒店的情况下楚地了解某个地方： 仔细查看房源并向房东发送具体问题 查看他们的个人资料验证 阅读评论了解更多详细信息 浏览经过验证的照片
预订分开,拆分住宿是一项功能，可让您在 2 个不同的列表之间拆分较长的住宿。每次拆分住宿都会在您的日期范围内配对 2 次连续住宿，让您在旅途中探索不同的房源、社区甚至不同的目的地。在搜索日期为一周或更长时间的住宿时，如果满足您的搜索条件的房源少于 300 个，则拆分住宿会自动显示在搜索结果末尾的“所有房源”类别中。只需向下滚动即可查看一系列选项，以将您的行程分配给彼此相对较近的 2 个列表。
预订如何分开,单击结果中的拆分住宿卡。它将打开类似的列表体验，您将能够单击进入同一屏幕上显示的 2 个列表中的每一个。您将能够像往常一样查看每个列表的所有详细信息。单击任一列表并开始结帐过程。完成第一个列表的结帐过程。一旦该列表被保留，您将被引导完成第二个列表。
预定分开条件,如果您只想预订住宿中的其中一个房源，您可以完成其中一个房源的结账，然后退出另一个房源的结账。第一个列表将保留在您的帐户下。然后，您可以选择搜索剩余日期的替代列表。拆分住宿不允许您在结账过程中编辑日期。如果您想编辑日期，您可以单独打开该列表，调整这些日期，然后像往常一样单独预订该列表。您将被从分期住宿选项中移除。
预定之前,自我介绍。在您的个人资料中分享您的简历并验证您的身份。房东想知道您是谁，并且更有可能接受您的请求。确保它是匹配的。检查照片、评论和房屋规则，以确保空间和托管风格适合您的需求。问好。如有任何问题，请随时与主持人联络。
旅游预定之前,与您的主机交谈。楚地传达您的期望和特殊需求。给他们一个提示。让他们知道您是否可能会迟到办理登机手续。
预定后,留下评论。始终为您的房东留下诚实的评论。他们将被邀请为您做同样的事情。要有建设性。让他们知道您喜欢什么，需要什么工作，如果您愿意，请毫不犹豫地赞美他们！
aircover,AirCover 可以保护您免受入住期间可能出现的许多问题的影响——比如冬天的热量流失——但它不包括更多的小不便，比如烤面包机坏了。如果在您入住期间确实出现问题，我们建议您先与房东联络，看看他们是否可以轻松解决。如果他们不能，您可以在您第一次发现问题后 72 小时内联络我们，我们会进行调查。如果我们发现问题受 AirCover 保护，我们将为您提供全额或部分退款，或者根据具体情况为您寻找类似或更好的住宿地点。
aircover规矩,AirCover 是一项全面的保护计划，每次预订都免费提供。它包括我们的重新预订和退款政策、专门的 24 小时安全热线以及其他类型的基本支持。 AirCover 可保护您免受入住期间可能出现的严重旅行问题的影响，包括： 如果您的房东在您入住日期后 30 天内取消您的预订 如果您无法进入房源，而您的房东无能为力如果房东、其他人或宠物在您入住期间在该空间内，并且房源描述中未提及 如果房源在登记入住时由于洁、安全或健康原因不适合居住 如果单描述对于重要的事情并不准确。例如，如果房屋缺少主要的广告设施（如冰箱），它是不同类型的房屋，或者卧室数量错误 如果在您入住期间确实出现问题，您首先需要联络到您的主机，看看他们是否可以轻松解决它。如果他们不能，请在发现问题后 72 小时内联络我们。如果我们发现问题受 AirCover 保护，我们将为您提供全额或部分退款，或者根据具体情况为您寻找类似或更好的住宿地点。
预定要求,在预订住宿或体验之前，我们可能会要求您提供政府身份证或验证您的身份。我们需要知道一些基本信息——我们不会与房东或其他任何人分享这些信息。我们也鼓励使用头像，有些房东可能会要求使用头像，但在确认预订之前不会显示头像。我们需要您： 全名 电子邮件地址 已确认的电话号码 付款信息 您的房东可能会要求： 简短的介绍性信息 同意房屋规则
年龄要求,我们都喜欢环游世界，但未满 18 岁的任何人创建旅行或房东帐户都违反了我们的服务条款。
孩子旅游,我们的许多房东都以为难忘的家庭假期创造空间而自豪。一些房东指定他们的空间可能不安全或不适合儿童或婴儿。一切都应该在列表详细信息中，但如果您有任何问题，请随时向主机发送消息。在提出旅行请求时，让房东知道谁来——包括婴儿和儿童。虽然婴儿（2 岁以下的儿童）通常不会产生任何额外费用，但一些房东将儿童视为客人，这可能会在预订中增加额外的客人费用。
服务性动物,服务性动物：经过单独训练为残疾人工作或执行任务的狗或微型马。我们允许的内容：客人可以在入住或体验期间由服务性动物陪伴，并且无需在预订前披露服务性动物的存在。在某些情况下，房东可能有资格获得豁免——例如，如果服务性动物直接威胁到他们的健康或安全。房东只能就房客对服务性动物的需求提出以下问题：房客是否因残疾而需要服务性动物 服务性动物接受过培训可以执行的工作或任务 我们不允许：当房客有服务性动物陪伴，房东不得： 拒绝预订 收取宠物费或其他额外费用 应用差别待遇 使用歧视性语言 要求客人遵守不同的规则 客人的服务性动物不得： 失控 未家暴 独自留在在未经事先批准的情况下上市 允许进入被视为未经客人许可的区域 允许进入公共场所而不受束缚、束缚或束缚，并且不受客人控制 如果您在巴西，房东可以就客人的以下问题询问需要服务性动物：请求提供信息以适当识别服务性动物并将其与任何其他情绪化的狗/宠物区分开来 身份证和身份证明培训中心或自雇教师出具的包含以下信息的证明牌： 身份证 教师和动物姓名 培训中心或教师的名称 培训中心的 CNPJ 或教师的 CPF 教师和动物的照片 教师和动物的姓名 培训中心的名称或指导员培训中心的 CNPJ 或指导员的 CPF 要求动物更新的疫苗接种卡，带有多次和抗狂犬病疫苗接种的证明，由在该行业监管机构注册的兽医签署。导师还需要有动物装备，包括项圈、皮带和带把手的安全带。情感支持动物：提供陪伴、缓解孤独感或帮助缓解抑郁、焦虑或某些恐惧症但不需要接受特殊培训来执行帮助残疾人的任务的动物 我们允许：除非预订是在纽约或加利福尼亚（美国）或适用法律禁止的其他地方： 房东可能会向携带情感支持动物旅行的客人收取宠物费 房东可以拒绝入住或体验我们的情感支持动物不允许：对于要求房东接受情感支持动物的司法管辖区（除非房东有豁免），房东不能： 收取宠物费、拒绝客人或对与同行的客人应用不同的规则、待遇或行为情感支持动物 要求提供有关客人情感支持动物的信息或文件，超出上述针对服务性动物的问题。在要求房东接受情感支持动物之前，房客的情感支持动物不得： 失控 未入屋 未经事先批准单独留在房源 允许进入被视为未经房客允许的区域 允许在公共场所未经安全约束，用皮带拴住，或拴住，不受客人控制
预定中国,在中华人民共和国（为此，不包括香港、澳门和台湾）（“中国”）入住 爱彼迎 房源的所有旅行者必须提供与中国其他酒店公司几十年来收集的信息类似的信息.这是我们正在采取的一个步骤，我们正在探索帮助我们的主人和客人遵守适当的规则和规定的方法。爱彼迎通过爱彼迎互联网（北京）有限公司（“爱彼迎中国”）在中国（不包括香港、澳门和台湾）（“中国”）开展业务。如果您不居住在中国：如果您不居住在中国并且您查询或确认在中国的服务预订，您提供的信息将由爱彼迎中国传输、存储、使用和处理，例如: 您的姓名、电话号码和电子邮件地址 预订和入住/退房信息，包括城市、日期、时间、付款金额、房源地址和有关您房源的公开可用数据 您和房东之间的消息 姓名、国籍、性别、出生日期、护照/国民身份证详细信息（包括身份证类型、身份证号码和护照到期日期），包括您自己在内的所有入住房客的信息来源于您在上面提供的信息（例如城市为您地址的一部分）或您使用爱彼迎平台或与爱彼迎平台互动以查询或确认在中国的服务预订（例如发送消息或确认预订的日期或时间）。中国政府机构要求爱彼迎中国披露与中国房源相关的房东和房源信息，以及与中国预订相关的客人预订和入住/退房信息。与在中国开展业务的其他酒店公司类似，爱彼迎中国将向中国政府机构披露您的上述信息，恕不另行通知。您的信息可能会进一步与服务提供商（包括中国）共享，以帮助我们开展业务。我们的服务提供商也可能会在法律要求的情况下披露您的信息。请参阅我们的隐私政策和我们的中国隐私政策，以了解有关我们隐私惯例的更多信息。如果您居住在中国：如果您居住在中国，您的信息将由爱彼迎中国存储、使用和处理。如果您查询或确认预订中国服务，您提供的信息将由爱彼迎中国存储、使用和处理，例如： 您的姓名、电话号码和电子邮件地址 预订和入住/退房信息，包括城市、日期、时间、付款金额、房源地址和有关房源的公开数据 您和房东之间的信息 姓名、国籍、性别、出生日期、护照/国民身份证详细信息（包括身份证类型和身份证号码) 和入住房源的所有房客的护照到期日，包括您自己的信息源自您在上面提供的信息（例如，作为您地址的一部分的城市）或您使用爱彼迎平台或与爱彼迎平台互动以查询或确认在中国的服务预订（例如发送消息或确认预订的日期或时间）。中国政府机构要求爱彼迎中国披露与中国房源相关的房东和房源信息，以及与中国预订相关的客人预订和入住/退房信息。与在中国开展业务的其他酒店公司类似，爱彼迎中国将向中国政府机构披露您的上述信息，恕不另行通知。您的信息可能会进一步与服务提供商（包括中国）共享，以帮助我们开展业务。我们的服务提供商也可能会在法律要求的情况下披露您的信息。
预定紧急,在某些情况下，在发生危机事件后，爱彼迎.org 会启动一项计划，允许受影响的人直接申请紧急住房。在这些情况下，您会在 爱彼迎 的新闻发布室中找到一篇文章，其中包含有关活动的信息以及您可以提交请求的链接。您需要登录或创建一个爱彼迎账户，确认您的资格地址，回答几个问题，并同意某些条款。在您提交请求后，爱彼迎.org 可能会与您联络以查看更多详细信息。 爱彼迎.org 的目标是在 24 小时内审核所有提交的内容。如果您的信息无法验证或不符合 爱彼迎.org 的资格标准，您将收到一封电子邮件通知您。在其他情况下，人们必须由 爱彼迎.org 非营利合作伙伴或其他组织推荐或协助才能预订或使用住宿。在这些情况下，个人不可能直接申请紧急住房。如果您获得批准，您将收到一封电子邮件，邀请您浏览可用的 爱彼迎.org 住宿。以下是一些需要牢记的提示： 仔细阅读电子邮件邀请。它将概述如何预订住宿以及您可以预订的日期。确保这个地方很合适。查看房源详情——卧室数量、便利设施和照片。确保您的住宿符合计划要求。如果没有，将根据主办方的取消政策取消。需要更多信息？如果您有任何疑问，请单击或点击列表页面上的联络房东。
联络,您可以查看列表，然后单击或点击联络主持人以发送消息。专业提示：如果您想询问具体的预订详情，请在点击联络房东之前输入您旅行的日期和客人人数（除非您选择了日期，否则您将无法发送消息）。
邀请预定,因此，您已经确定了一些日期，并找到了您感兴趣的地方。您向房东发送消息，他们回复了预订邀请。好消息——这意味着该位置可用，并且主人想要达成交易。下一步是什么？您所要做的就是在消息线程中单击“立即预订”，添加您的付款信息，然后单击“确认”。你会准备好的。还没准备好？您有 24 小时的时间来决定是否要预订这些日期和价格。如果您等待更长的时间，房客费用可能会发生变化，或者房东可能会接受另一个预订，因为他们可以邀请许多潜在的房客。
预先批准,预先批准是房东让您知道他们的房源是否在您询问的日期可用的一种方式。获得预先批准后，您可以自动预订这些日期的预订，而无需等待房东再次回复。请记住，当房东向您发送预先批准时，您的预订只有在您点击消息线程中的预订并添加您的付款信息后才会得到确认。房东可以向多位潜在房客发送预先批准，因此如果您找到了完美的房源，请务必尽快完成预订流程。您有 24 小时的时间在其到期前接受预先批准。如果超过 24 小时，您仍然可以接受预先批准，但您的房东需要先批准您的请求，然后才能确认您的预订。
接受,转到您的收件箱并打开您的房东的消息查看您的预批准或特别优惠的详细信息，然后单击或点击立即预订下一步，单击预订并查看您的付款信息点击或点击确认并付款
特别优惠,房东选择自定义价格（或其他详细信息）并邀请您使用新的详细信息进行预订。您将有 24 小时的时间接受特别优惠。
合同,一些房东要求房客签署合同或租赁协议。这样房东就可以合法地执行某些保护自己和财产的规则。您应该在预订前了解此要求，并且您没有义务签署任何内容。如果您不满意，您可以与房东讨论或寻找其他住宿地点。如果您进行了预订，然后房东告诉您有关合同的信息，您可以拒绝签署并要求房东取消您的预订。
列表如何立刻预定,前往房源并点击查看空房情况 选择日期、房客人数，然后点击预订 如果显示确认并付款，您可以立即预订 如果显示请求预订，您可以添加付款信息，查看政策和条款，并在提交前向房东发送消息 如果您立即预订，您就可以出发了。如果您发送请求，您的房东通常会在 24 小时内回复。同时，我们可能会要求您验证您的身份——一些主机需要它，这有助于我们确保社区的安全。在除印度以外的任何地方，如果房东接受您的请求，您将被收取预订费用。如果他们拒绝或未在 24 小时内回复，则不收取任何费用，您可以免费预订其他住宿。对于以印度卢比付款的客人，您将在请求预订时支付预订费用。如果您的请求过期或被房东拒绝，我们将立即全额退款，这可能需要长达 10 天，具体取决于您的银行。
取消,首先，检查您的请求的状态。如果房东已经接受了，则受其取消政策的约束。如果仍处于待处理状态，您可以取消，并且不会向您收取预订费或服务费。最简单的方法是在您的收件箱中找到您的主机的消息线程，然后选择撤回请求。否则： 1. 前往旅行并单击显示更多旅行计划 2. 对于显示待定房东批准的预订，单击取消预订 3. 单击取消请求/预订
查看预订,您的预订状态可让您随时了解各种情况，例如您是否已确认或是否需要执行验证 ID 或留下评论等操作。要查看它，请在收件箱中找到与房东相关的消息线程，或者转到旅行并单击或点击显示更多旅行计划，然后显示详细信息。已确认状态意味着您可以开始了！如果您设置了这些，您将收到一封电子邮件，以及文本 (SMS) 和推送通知。
预定分别,对于 Instant Book 列表，您的预订会自动确认。如果您使用了“请求预订”按钮，房东有 24 小时的时间做出回应。如果他们拒绝或没有回应，请不要担心：您不会被收取费用，并且可以免费预订不同的住宿。无论哪种方式，请确保您的帐户是最新的，包含有效的付款信息和经过验证的 ID（某些主机需要它。）
保留状态,今天到达 客人将在 24 小时内到达。明天到达 客人很快就会到达，但不会在 24 小时内到达。 __ 天后到达 客人将在所述天数内进行检查。现在是打印预订详情和协调登记入住的好时机（如果您还没有的话）。等待客人 ID 主人要求客人在接受旅行请求之前验证他们的身份。他们有 12 小时的时间这样做；否则，请求将过期。 Awaiting guest review 客人已经退房，并有 14 天的时间来写下他们的住宿评论。 Awaiting payment 行程请求已被接受，但客人的付款尚未完成。在付款完成之前无法确认预订，因此他们有 24 小时更新付款信息。否则，预订将被取消而不会受到处罚。详细了解等待付款的预订。已取消 预订被取消，可能是因为： 客人未在 12 小时内验证其身份 未完成付款且未在 24 小时内更新付款信息 被您/客人/房东取消/爱彼迎 房东、房客或 爱彼迎 取消了已确认的预订。有时，爱彼迎 可能会代表房东或房客取消预订。今天退房 客人将在 24 小时内退房。未决更改 主人或客人已发起行程更改。已确认 旅行请求已被房东或通过 Instant Book 自动接受。 爱彼迎 已收取款项。当前托管 客人此时正在旅行。好的！ Invite expired 客人在收到房东预先批准的预订邀请后 24 小时内未接受。他们仍然可以预订该地点，但他们需要发送新的旅行请求。邀请已发送 房东已邀请客人预订显示的日期并自动确认。客人有 24 小时的时间选择立即预订。不可能 请求的日期不再可用。发生这种情况的原因有多种，包括预订重叠或房东日历的最近更新。优惠已过期 客人收到房东的特别优惠，但未在 24 小时窗口内接受。过去的客人 客人完成了他们的旅行。请求被拒绝 主人拒绝了客人的旅行请求，因此不会向他们收费。请求已过期 主人或客人接受或拒绝请求的时间超过 24 小时。如果客人仍然感兴趣，他们将需要发送新的请求。获取有关拒绝或过期请求的更多详细信息。请求已撤消 客人发送了旅行请求，但随后决定取消。点评客人 行程结束，房东有14天时间给客人留下点评。已发送特别优惠 房东已邀请客人以与所列价格不同的价格预订显示的日期。房东经常这样做是为了提供折扣或在预订中增加额外的金额，例如宠物费。客人有 24 小时的时间通过选择立即预订来接受预订——此时，预订将被自动接受。 爱彼迎 更改了行程 我们的客户支持团队已代表房东或客人更改了行程详情。旅行更改被拒绝 房东拒绝了客人更改旅行详情的请求。已请求旅行更改 客人已请求更改有关其旅行的详细信息。如果房东不接受，他们将不得不按照原计划进行或取消。已发送行程变更 房东已请求更改有关其行程的详细信息。如果客人不接受，他们将不得不按原计划或取消。旅行被拒绝 客人提出旅行问题，但主人拒绝了，这意味着客人无法发送旅行请求。这可能是由于它们的可用性发生了变化。查询 客人已询问有关具体日期的问题，但尚未发送旅行请求。为了保持他们的回复率，我们鼓励房东在 24 小时内回信，并邀请房客在查询到期前预订、拒绝或发送特别优惠。如果您的状态显示“查询 - 即将到期”，请查看今日仪表板以了解您必须在多少小时内回复才能为时已晚。了解有关联络房东的更多信息。
联络没回复,大多数主机会在几个小时内做出响应，但时区和缺乏互联网访问可能会减慢速度。与此同时，尝试联络该地区的其他房东。请注意不要在同一日期发送多个旅行请求，以确保您最终不会重复预订。不想等待主机响应？试用 Instant Book 房源——只要您已完成帐户设置，您就可以立即预订，而无需向房东发送请求以获得批准。
联络时间,房东有 24 小时接受或拒绝您的请求，但绝大多数会在 12 小时内回复。很有可能，它会更快：超过一半的旅行请求在主人阅读它的一小时内被接受。您可以随时查看您的旅行请求的状态，但当事情发生变化时，您也会收到电子邮件更新。当房东确认您的请求后，爱彼迎将处理并全额收取您的付款。如果他们拒绝或让它过期，您将不会被收取费用，您可以自由预订不同的住宿。需要来自您的主机的更多信息？您可以使用收件箱向房东发送消息或前往您的旅行。
更改待定,改变计划？没问题。只要您的预订状态仍处于待处理状态，您就可以撤回您的请求并发送一个新请求：只需转到您与房东的消息线程并选择撤回请求，或者您可以前往旅行并取消待处理的旅行请求。之后，只需发送一个包含更新详细信息的新请求。取消或撤回请求后，您可以发送新的请求，其中包含更改的日期或客人人数。
预订体验,预订很容易——只需在爱彼迎网站或应用程序上找到“体验”部分。您可以选择特定的城市和日期，或浏览所有体验。请记住，体验可用性由个人主机设置。需要一个很棒的住宿活动吗？您无需在 爱彼迎 上预订房屋即可预订体验。
预订多种体验,您可以预订尽可能多的体验！只需交叉检查时间表以避免重叠的预订体验。
预订在线体验,您可以像预订面对面体验一样预订在线体验。只需确保您可以通过台式机、平板电脑或移动设备访问 Zoom。
预订在线体验价格,在线体验按每人计费，系统会要求您为每个加入体验的人预订一个位置。但是，如果主持人对每个设备加入的多个客人开放，他们会在您将做什么和如何参与下的体验页面上告诉您。
预订在线体验更改取消退款,您最多可以在开始时间前 7 天或预订后 24 小时内取消。您可以在体验开始前最多 72 小时更改预订。在线和线下爱彼迎体验的取消和更改政策相同。如果在线体验期间您自己的设备或主持人的设备出现任何技术问题，例如音频或视频问题，您有资格获得全额退款。
预订在线体验参加,您将在确认电子邮件中了解您需要了解的所有内容，但您也可以查看体验页面的“如何参与”和“宾客要求”部分。要查找您的在线体验的 Zoom 链接，请访问： 您的确认电子邮件 您的提醒电子邮件 旅行，包含在您的预订信息中
举报,如果您发现任何不当内容，请联络爱彼迎社区支持并举报。提供尽可能多的信息，我们将调查该问题。
体验包括,每次体验都不同，因此最好在预订前仔细查看包含和不包含的内容。例如，您需要知道您的品酒体验中是否包含饮品，或者您是否需要为博物馆之旅的特别展览付费。房东将此信息添加到体验页面。查看包含的内容或我将提供的内容部分以了解预期内容。住宿通常不包含在单日体验中。多日冒险确实包括住宿、用餐和活动。
体验组,当您找到要预订的体验时，请检查“为私人团体预订”选项是否可用。您还可以联络主持人，了解他们是否可以私下主持您的小组或为您的小组定制体验。请注意，房东是否提供私人团体由房东自行决定 如果您的团体进行预订并且您为该预订支付的总金额超过了房东的最低价格，那么您的团体将支付更高的金额。
